pizza_name_id,pizza_name,pizza_ingredients,Items_Qty_In_Grams
five_cheese_l,The Five Cheese Pizza,garlic,15.0
four_cheese_l,The Four Cheese Pizza,ricotta cheese,50.0
four_cheese_l,The Four Cheese Pizza,gorgonzola piccante cheese,40.0
four_cheese_l,The Four Cheese Pizza,mozzarella cheese,20.0
four_cheese_l,The Four Cheese Pizza,garlic,15.0
four_cheese_m,The Four Cheese Pizza,ricotta cheese,25.0
four_cheese_m,The Four Cheese Pizza,gorgonzola piccante cheese,20.0
four_cheese_m,The Four Cheese Pizza,mozzarella cheese,10.0
four_cheese_m,The Four Cheese Pizza,parmigiano reggiano cheese,60.0
four_cheese_m,The Four Cheese Pizza,garlic,10.0
green_garden_l,The Green Garden Pizza,spinach,45.0
green_garden_l,The Green Garden Pizza,mushrooms,60.0
green_garden_l,The Green Garden Pizza,tomatoes,30.0
green_garden_l,The Green Garden Pizza,green olives,15.0
green_garden_l,The Green Garden Pizza,feta cheese,40.0
green_garden_m,The Green Garden Pizza,spinach,30.0
green_garden_m,The Green Garden Pizza,mushrooms,40.0
green_garden_m,The Green Garden Pizza,tomatoes,20.0
green_garden_m,The Green Garden Pizza,green olives,10.0
green_garden_m,The Green Garden Pizza,feta cheese,20.0
green_garden_s,The Green Garden Pizza,spinach,15.0
green_garden_s,The Green Garden Pizza,mushrooms,20.0
green_garden_s,The Green Garden Pizza,tomatoes,10.0
green_garden_s,The Green Garden Pizza,green olives,5.0
green_garden_s,The Green Garden Pizza,feta cheese,10.0
hawaiian_l,The Hawaiian Pizza,pineapple,45.0
hawaiian_l,The Hawaiian Pizza,mozzarella cheese,30.0
hawaiian_m,The Hawaiian Pizza,pineapple,30.0
hawaiian_m,The Hawaiian Pizza,mozzarella cheese,20.0
hawaiian_s,The Hawaiian Pizza,pineapple,15.0
hawaiian_s,The Hawaiian Pizza,mozzarella cheese,10.0
ital_cpcllo_l,The Italian Capocollo Pizza,red peppers,15.0
ital_cpcllo_l,The Italian Capocollo Pizza,tomatoes,30.0
ital_cpcllo_l,The Italian Capocollo Pizza,goat cheese,60.0
ital_cpcllo_l,The Italian Capocollo Pizza,garlic,15.0
ital_cpcllo_l,The Italian Capocollo Pizza,oregano,15.0
ital_cpcllo_m,The Italian Capocollo Pizza,red peppers,10.0
ital_cpcllo_m,The Italian Capocollo Pizza,tomatoes,20.0
ital_cpcllo_m,The Italian Capocollo Pizza,goat cheese,40.0
ital_cpcllo_m,The Italian Capocollo Pizza,garlic,10.0
ital_cpcllo_m,The Italian Capocollo Pizza,oregano,10.0
ital_cpcllo_s,The Italian Capocollo Pizza,capocollo,50.0
ital_cpcllo_s,The Italian Capocollo Pizza,red peppers,5.0
ital_cpcllo_s,The Italian Capocollo Pizza,tomatoes,10.0
ital_cpcllo_s,The Italian Capocollo Pizza,goat cheese,20.0
ital_cpcllo_s,The Italian Capocollo Pizza,garlic,5.0
ital_cpcllo_s,The Italian Capocollo Pizza,oregano,5.0
ital_supr_l,The Italian Supreme Pizza,tomatoes,30.0
ital_supr_l,The Italian Supreme Pizza,red onions,60.0
ital_supr_l,The Italian Supreme Pizza,green olives,15.0
ital_supr_l,The Italian Supreme Pizza,garlic,15.0
ital_supr_m,The Italian Supreme Pizza,tomatoes,20.0
ital_supr_m,The Italian Supreme Pizza,red onions,40.0
ital_supr_m,The Italian Supreme Pizza,green olives,10.0
ital_supr_m,The Italian Supreme Pizza,garlic,10.0
ital_supr_s,The Italian Supreme Pizza,calabrese salami,50.0
ital_supr_s,The Italian Supreme Pizza,capocollo,50.0
ital_supr_s,The Italian Supreme Pizza,tomatoes,10.0
ital_supr_s,The Italian Supreme Pizza,red onions,20.0
ital_supr_s,The Italian Supreme Pizza,green olives,5.0
ital_supr_s,The Italian Supreme Pizza,garlic,5.0
ital_veggie_l,The Italian Vegetables Pizza,eggplant,60.0
ital_veggie_l,The Italian Vegetables Pizza,artichokes,20.0
ital_veggie_l,The Italian Vegetables Pizza,tomatoes,30.0
ital_veggie_l,The Italian Vegetables Pizza,zucchini,30.0
ital_veggie_l,The Italian Vegetables Pizza,red peppers,15.0
ital_veggie_l,The Italian Vegetables Pizza,garlic,15.0
ital_veggie_l,The Italian Vegetables Pizza,pesto sauce,30.0
ital_veggie_m,The Italian Vegetables Pizza,eggplant,40.0
ital_veggie_m,The Italian Vegetables Pizza,artichokes,15.0
ital_veggie_m,The Italian Vegetables Pizza,tomatoes,20.0
ital_veggie_m,The Italian Vegetables Pizza,zucchini,20.0
ital_veggie_m,The Italian Vegetables Pizza,red peppers,10.0
ital_veggie_m,The Italian Vegetables Pizza,garlic,10.0
ital_veggie_m,The Italian Vegetables Pizza,pesto sauce,20.0
ital_veggie_s,The Italian Vegetables Pizza,eggplant,20.0
ital_veggie_s,The Italian Vegetables Pizza,artichokes,10.0
ital_veggie_s,The Italian Vegetables Pizza,tomatoes,10.0
ital_veggie_s,The Italian Vegetables Pizza,zucchini,10.0
ital_veggie_s,The Italian Vegetables Pizza,red peppers,5.0
ital_veggie_s,The Italian Vegetables Pizza,garlic,5.0
ital_veggie_s,The Italian Vegetables Pizza,pesto sauce,10.0
mediterraneo_l,The Mediterranean Pizza,spinach,45.0
mediterraneo_l,The Mediterranean Pizza,artichokes,20.0
mediterraneo_l,The Mediterranean Pizza,kalamata olives,15.0
mediterraneo_l,The Mediterranean Pizza,sun-dried tomatoes,15.0
mediterraneo_l,The Mediterranean Pizza,feta cheese,40.0
mediterraneo_l,The Mediterranean Pizza,plum tomatoes,60.0
mediterraneo_l,The Mediterranean Pizza,red onions,60.0
mediterraneo_m,The Mediterranean Pizza,spinach,30.0
mediterraneo_m,The Mediterranean Pizza,artichokes,15.0
mediterraneo_m,The Mediterranean Pizza,kalamata olives,10.0
mediterraneo_m,The Mediterranean Pizza,sun-dried tomatoes,10.0
mediterraneo_m,The Mediterranean Pizza,feta cheese,20.0
mediterraneo_m,The Mediterranean Pizza,plum tomatoes,40.0
mediterraneo_m,The Mediterranean Pizza,red onions,40.0
mediterraneo_s,The Mediterranean Pizza,spinach,15.0
mediterraneo_s,The Mediterranean Pizza,artichokes,10.0
mediterraneo_s,The Mediterranean Pizza,kalamata olives,5.0
mediterraneo_s,The Mediterranean Pizza,sun-dried tomatoes,5.0
mediterraneo_s,The Mediterranean Pizza,feta cheese,10.0
mediterraneo_s,The Mediterranean Pizza,plum tomatoes,20.0
mediterraneo_s,The Mediterranean Pizza,red onions,20.0
mexicana_l,The Mexicana Pizza,tomatoes,30.0
mexicana_l,The Mexicana Pizza,red peppers,15.0
mexicana_l,The Mexicana Pizza,jalapeno peppers,15.0
mexicana_l,The Mexicana Pizza,red onions,60.0
mexicana_l,The Mexicana Pizza,cilantro,15.0
mexicana_l,The Mexicana Pizza,chipotle sauce,30.0
mexicana_l,The Mexicana Pizza,garlic,15.0
mexicana_m,The Mexicana Pizza,tomatoes,20.0
mexicana_m,The Mexicana Pizza,red peppers,10.0
mexicana_m,The Mexicana Pizza,jalapeno peppers,10.0
mexicana_m,The Mexicana Pizza,red onions,40.0
mexicana_m,The Mexicana Pizza,cilantro,10.0
mexicana_m,The Mexicana Pizza,corn,70.0
mexicana_m,The Mexicana Pizza,chipotle sauce,20.0
mexicana_m,The Mexicana Pizza,garlic,10.0
mexicana_s,The Mexicana Pizza,tomatoes,10.0
mexicana_s,The Mexicana Pizza,red peppers,5.0
mexicana_s,The Mexicana Pizza,jalapeno peppers,5.0
mexicana_s,The Mexicana Pizza,red onions,20.0
mexicana_s,The Mexicana Pizza,cilantro,5.0
mexicana_s,The Mexicana Pizza,corn,30.0
mexicana_s,The Mexicana Pizza,chipotle sauce,10.0
mexicana_s,The Mexicana Pizza,garlic,5.0
napolitana_l,The Napolitana Pizza,tomatoes,30.0
napolitana_l,The Napolitana Pizza,anchovies,40.0
napolitana_l,The Napolitana Pizza,green olives,15.0
napolitana_l,The Napolitana Pizza,red onions,60.0
napolitana_l,The Napolitana Pizza,garlic,15.0
napolitana_m,The Napolitana Pizza,tomatoes,20.0
napolitana_m,The Napolitana Pizza,anchovies,30.0
napolitana_m,The Napolitana Pizza,green olives,10.0
napolitana_m,The Napolitana Pizza,red onions,40.0
napolitana_m,The Napolitana Pizza,garlic,10.0
napolitana_s,The Napolitana Pizza,tomatoes,10.0
napolitana_s,The Napolitana Pizza,anchovies,15.0
napolitana_s,The Napolitana Pizza,green olives,5.0
napolitana_s,The Napolitana Pizza,red onions,20.0
napolitana_s,The Napolitana Pizza,garlic,5.0
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",pepperoni,60.0
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",mushrooms,60.0
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",green peppers,20.0
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",pepperoni,40.0
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",mushrooms,40.0
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",green peppers,15.0
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",pepperoni,20.0
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",mushrooms,20.0
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",green peppers,20.0
pepperoni_l,The Pepperoni Pizza,mozzarella cheese,30.0
pepperoni_l,The Pepperoni Pizza,pepperoni,60.0
pepperoni_m,The Pepperoni Pizza,mozzarella cheese,20.0
pepperoni_m,The Pepperoni Pizza,pepperoni,40.0
pepperoni_s,The Pepperoni Pizza,mozzarella cheese,10.0
pepperoni_s,The Pepperoni Pizza,pepperoni,20.0
peppr_salami_l,The Pepper Salami Pizza,pepperoni,60.0
peppr_salami_l,The Pepper Salami Pizza,tomatoes,30.0
peppr_salami_l,The Pepper Salami Pizza,asiago cheese,30.0
peppr_salami_l,The Pepper Salami Pizza,garlic,15.0
peppr_salami_m,The Pepper Salami Pizza,genoa salami,60.0
peppr_salami_m,The Pepper Salami Pizza,pepperoni,40.0
peppr_salami_m,The Pepper Salami Pizza,tomatoes,20.0
peppr_salami_m,The Pepper Salami Pizza,asiago cheese,20.0
peppr_salami_m,The Pepper Salami Pizza,garlic,10.0
peppr_salami_s,The Pepper Salami Pizza,genoa salami,30.0
peppr_salami_s,The Pepper Salami Pizza,capocollo,50.0
peppr_salami_s,The Pepper Salami Pizza,pepperoni,20.0
peppr_salami_s,The Pepper Salami Pizza,tomatoes,10.0
peppr_salami_s,The Pepper Salami Pizza,asiago cheese,10.0
peppr_salami_s,The Pepper Salami Pizza,garlic,5.0
prsc_argla_l,The Prosciutto and Arugula Pizza,prosciutto di san daniele,40.0
prsc_argla_l,The Prosciutto and Arugula Pizza,arugula,15.0
prsc_argla_l,The Prosciutto and Arugula Pizza,mozzarella cheese,30.0
prsc_argla_m,The Prosciutto and Arugula Pizza,prosciutto di san daniele,20.0
prsc_argla_m,The Prosciutto and Arugula Pizza,arugula,10.0
prsc_argla_m,The Prosciutto and Arugula Pizza,mozzarella cheese,20.0
prsc_argla_s,The Prosciutto and Arugula Pizza,prosciutto di san daniele,10.0
prsc_argla_s,The Prosciutto and Arugula Pizza,arugula,5.0
prsc_argla_s,The Prosciutto and Arugula Pizza,mozzarella cheese,10.0
sicilian_l,The Sicilian Pizza,tomatoes,30.0
sicilian_l,The Sicilian Pizza,green olives,15.0
sicilian_l,The Sicilian Pizza,luganega sausage,60.0
sicilian_l,The Sicilian Pizza,onions,30.0
sicilian_l,The Sicilian Pizza,garlic,15.0
sicilian_m,The Sicilian Pizza,coarse sicilian salami,80.0
sicilian_m,The Sicilian Pizza,tomatoes,20.0
sicilian_m,The Sicilian Pizza,green olives,10.0
sicilian_m,The Sicilian Pizza,luganega sausage,40.0
sicilian_m,The Sicilian Pizza,onions,20.0
sicilian_m,The Sicilian Pizza,garlic,10.0
sicilian_s,The Sicilian Pizza,coarse sicilian salami,40.0
sicilian_s,The Sicilian Pizza,tomatoes,10.0
sicilian_s,The Sicilian Pizza,green olives,5.0
sicilian_s,The Sicilian Pizza,luganega sausage,20.0
sicilian_s,The Sicilian Pizza,onions,10.0
sicilian_s,The Sicilian Pizza,garlic,5.0
soppressata_l,The Soppressata Pizza,fontina cheese,30.0
soppressata_l,The Soppressata Pizza,mozzarella cheese,30.0
soppressata_l,The Soppressata Pizza,mushrooms,60.0
soppressata_l,The Soppressata Pizza,garlic,15.0
soppressata_m,The Soppressata Pizza,fontina cheese,20.0
soppressata_m,The Soppressata Pizza,mozzarella cheese,20.0
soppressata_m,The Soppressata Pizza,mushrooms,40.0
soppressata_m,The Soppressata Pizza,garlic,10.0
soppressata_s,The Soppressata Pizza,soppressata salami,50.0
soppressata_s,The Soppressata Pizza,fontina cheese,10.0
soppressata_s,The Soppressata Pizza,mozzarella cheese,10.0
soppressata_s,The Soppressata Pizza,mushrooms,20.0
soppressata_s,The Soppressata Pizza,garlic,5.0
southw_ckn_l,The Southwest Chicken Pizza,tomatoes,30.0
southw_ckn_l,The Southwest Chicken Pizza,red peppers,15.0
southw_ckn_l,The Southwest Chicken Pizza,red onions,60.0
southw_ckn_l,The Southwest Chicken Pizza,jalapeno peppers,15.0
southw_ckn_l,The Southwest Chicken Pizza,cilantro,15.0
southw_ckn_l,The Southwest Chicken Pizza,chipotle sauce,30.0
southw_ckn_m,The Southwest Chicken Pizza,tomatoes,20.0
southw_ckn_m,The Southwest Chicken Pizza,red peppers,10.0
southw_ckn_m,The Southwest Chicken Pizza,red onions,40.0
southw_ckn_m,The Southwest Chicken Pizza,jalapeno peppers,10.0
southw_ckn_m,The Southwest Chicken Pizza,corn,70.0
southw_ckn_m,The Southwest Chicken Pizza,cilantro,10.0
southw_ckn_m,The Southwest Chicken Pizza,chipotle sauce,20.0
southw_ckn_s,The Southwest Chicken Pizza,chicken,50.0
southw_ckn_s,The Southwest Chicken Pizza,tomatoes,10.0
southw_ckn_s,The Southwest Chicken Pizza,red peppers,5.0
southw_ckn_s,The Southwest Chicken Pizza,red onions,20.0
southw_ckn_s,The Southwest Chicken Pizza,jalapeno peppers,5.0
southw_ckn_s,The Southwest Chicken Pizza,corn,30.0
southw_ckn_s,The Southwest Chicken Pizza,cilantro,5.0
southw_ckn_s,The Southwest Chicken Pizza,chipotle sauce,10.0
spicy_ital_l,The Spicy Italian Pizza,tomatoes,30.0
spicy_ital_l,The Spicy Italian Pizza,goat cheese,60.0
spicy_ital_l,The Spicy Italian Pizza,artichokes,20.0
spicy_ital_l,The Spicy Italian Pizza,peperoncini verdi,15.0
spicy_ital_l,The Spicy Italian Pizza,garlic,15.0
spicy_ital_m,The Spicy Italian Pizza,tomatoes,20.0
spicy_ital_m,The Spicy Italian Pizza,goat cheese,40.0
spicy_ital_m,The Spicy Italian Pizza,artichokes,15.0
spicy_ital_m,The Spicy Italian Pizza,peperoncini verdi,10.0
spicy_ital_m,The Spicy Italian Pizza,garlic,10.0
spicy_ital_s,The Spicy Italian Pizza,capocollo,50.0
spicy_ital_s,The Spicy Italian Pizza,tomatoes,10.0
spicy_ital_s,The Spicy Italian Pizza,goat cheese,20.0
spicy_ital_s,The Spicy Italian Pizza,artichokes,10.0
spicy_ital_s,The Spicy Italian Pizza,peperoncini verdi,5.0
spicy_ital_s,The Spicy Italian Pizza,garlic,5.0
spin_pesto_l,The Spinach Pesto Pizza,spinach,45.0
spin_pesto_l,The Spinach Pesto Pizza,artichokes,20.0
spin_pesto_l,The Spinach Pesto Pizza,tomatoes,30.0
spin_pesto_l,The Spinach Pesto Pizza,sun-dried tomatoes,15.0
spin_pesto_l,The Spinach Pesto Pizza,garlic,15.0
spin_pesto_l,The Spinach Pesto Pizza,pesto sauce,30.0
spin_pesto_m,The Spinach Pesto Pizza,spinach,30.0
spin_pesto_m,The Spinach Pesto Pizza,artichokes,15.0
spin_pesto_m,The Spinach Pesto Pizza,tomatoes,20.0
spin_pesto_m,The Spinach Pesto Pizza,sun-dried tomatoes,10.0
spin_pesto_m,The Spinach Pesto Pizza,garlic,10.0
spin_pesto_m,The Spinach Pesto Pizza,pesto sauce,20.0
spin_pesto_s,The Spinach Pesto Pizza,spinach,15.0
spin_pesto_s,The Spinach Pesto Pizza,artichokes,10.0
spin_pesto_s,The Spinach Pesto Pizza,tomatoes,10.0
spin_pesto_s,The Spinach Pesto Pizza,sun-dried tomatoes,5.0
spin_pesto_s,The Spinach Pesto Pizza,garlic,5.0
spin_pesto_s,The Spinach Pesto Pizza,pesto sauce,10.0
spinach_fet_l,The Spinach and Feta Pizza,spinach,45.0
spinach_fet_l,The Spinach and Feta Pizza,mushrooms,60.0
spinach_fet_l,The Spinach and Feta Pizza,red onions,60.0
spinach_fet_l,The Spinach and Feta Pizza,feta cheese,40.0
spinach_fet_l,The Spinach and Feta Pizza,garlic,15.0
spinach_fet_m,The Spinach and Feta Pizza,spinach,30.0
spinach_fet_m,The Spinach and Feta Pizza,mushrooms,40.0
spinach_fet_m,The Spinach and Feta Pizza,red onions,40.0
spinach_fet_m,The Spinach and Feta Pizza,feta cheese,20.0
spinach_fet_m,The Spinach and Feta Pizza,garlic,10.0
spinach_fet_s,The Spinach and Feta Pizza,spinach,15.0
spinach_fet_s,The Spinach and Feta Pizza,mushrooms,20.0
spinach_fet_s,The Spinach and Feta Pizza,red onions,20.0
spinach_fet_s,The Spinach and Feta Pizza,feta cheese,10.0
spinach_fet_s,The Spinach and Feta Pizza,garlic,5.0
spinach_supr_l,The Spinach Supreme Pizza,spinach,45.0
spinach_supr_l,The Spinach Supreme Pizza,red onions,60.0
spinach_supr_l,The Spinach Supreme Pizza,pepperoni,60.0
spinach_supr_l,The Spinach Supreme Pizza,tomatoes,30.0
spinach_supr_l,The Spinach Supreme Pizza,artichokes,20.0
spinach_supr_l,The Spinach Supreme Pizza,kalamata olives,15.0
spinach_supr_l,The Spinach Supreme Pizza,garlic,15.0
spinach_supr_l,The Spinach Supreme Pizza,asiago cheese,30.0
spinach_supr_m,The Spinach Supreme Pizza,spinach,30.0
spinach_supr_m,The Spinach Supreme Pizza,red onions,40.0
spinach_supr_m,The Spinach Supreme Pizza,pepperoni,40.0
spinach_supr_m,The Spinach Supreme Pizza,tomatoes,20.0
spinach_supr_m,The Spinach Supreme Pizza,artichokes,15.0
spinach_supr_m,The Spinach Supreme Pizza,kalamata olives,10.0
spinach_supr_m,The Spinach Supreme Pizza,garlic,10.0
spinach_supr_m,The Spinach Supreme Pizza,asiago cheese,20.0
spinach_supr_s,The Spinach Supreme Pizza,spinach,15.0
spinach_supr_s,The Spinach Supreme Pizza,red onions,20.0
spinach_supr_s,The Spinach Supreme Pizza,pepperoni,20.0
spinach_supr_s,The Spinach Supreme Pizza,tomatoes,10.0
spinach_supr_s,The Spinach Supreme Pizza,artichokes,10.0
spinach_supr_s,The Spinach Supreme Pizza,kalamata olives,5.0
spinach_supr_s,The Spinach Supreme Pizza,garlic,5.0
spinach_supr_s,The Spinach Supreme Pizza,asiago cheese,10.0
thai_ckn_l,The Thai Chicken Pizza,pineapple,45.0
thai_ckn_l,The Thai Chicken Pizza,tomatoes,30.0
thai_ckn_l,The Thai Chicken Pizza,red peppers,15.0
thai_ckn_l,The Thai Chicken Pizza,thai sweet chilli sauce,30.0
thai_ckn_m,The Thai Chicken Pizza,pineapple,30.0
thai_ckn_m,The Thai Chicken Pizza,tomatoes,20.0
thai_ckn_m,The Thai Chicken Pizza,red peppers,10.0
thai_ckn_m,The Thai Chicken Pizza,thai sweet chilli sauce,20.0
thai_ckn_s,The Thai Chicken Pizza,chicken,50.0
thai_ckn_s,The Thai Chicken Pizza,pineapple,15.0
thai_ckn_s,The Thai Chicken Pizza,tomatoes,10.0
thai_ckn_s,The Thai Chicken Pizza,red peppers,5.0
thai_ckn_s,The Thai Chicken Pizza,thai sweet chilli sauce,10.0
the_greek_l,The Greek Pizza,kalamata olives,15.0
the_greek_l,The Greek Pizza,feta cheese,40.0
the_greek_l,The Greek Pizza,tomatoes,30.0
the_greek_l,The Greek Pizza,garlic,15.0
the_greek_l,The Greek Pizza,red onions,60.0
the_greek_m,The Greek Pizza,kalamata olives,10.0
the_greek_m,The Greek Pizza,feta cheese,20.0
the_greek_m,The Greek Pizza,tomatoes,20.0
the_greek_m,The Greek Pizza,garlic,10.0
the_greek_m,The Greek Pizza,beef chuck roast,70.0
the_greek_m,The Greek Pizza,red onions,40.0
the_greek_s,The Greek Pizza,kalamata olives,5.0
the_greek_s,The Greek Pizza,feta cheese,10.0
the_greek_s,The Greek Pizza,tomatoes,10.0
